county,year,energy_use
Elbert,1990,104603167.29182294
Elbert,1991,110195025.50637658
Elbert,1992,115529293.32333082
Elbert,1993,123804384.84621154
Elbert,1994,137875260.31507877
Elbert,1995,153749268.56714177
Elbert,1996,169709140.28507125
Elbert,1997,182320336.83420852
Elbert,1998,193514786.19654912
Elbert,1999,204848763.6909227
Elbert,2000,215753423.85596398
Elbert,2001,228547080.26749152
Elbert,2002,231874289.5730371
Elbert,2003,235405424.6059369
Elbert,2004,236564581.39846158
Elbert,2005,238904360.83720466
Elbert,2006,241780786.94040415
Elbert,2007,241254873.21969983
Elbert,2008,243240465.86861318
Elbert,2009,245676841.7099983
Elbert,2010,248360075.01875466
Elbert,2011,249143579.14642817
Elbert,2012,250839382.59479025
Elbert,2013,253640678.16517413
Elbert,2014,258588560.38579354
Elbert,2015,264459474.87092814
Elbert,2016,270137196.5491159
Elbert,2017,283894977.64454746
Elbert,2018,297729551.9147128
Elbert,2019,311687624.430234
Elbert,2020,324648073.22555894
Elbert,2021,336617173.1516093
Elbert,2022,349766962.8294617
Elbert,2023,362990899.07618284
Elbert,2024,377379598.7608559
Elbert,2025,391812303.68594027
Elbert,2026,409560098.5428512
Elbert,2027,425089609.5813989
Elbert,2028,440553854.81537414
Elbert,2029,454831382.4441878
Elbert,2030,468973903.5997881
Elbert,2031,482956670.9631878
Elbert,2032,496775011.8424374
Elbert,2033,510389455.43173355
Elbert,2034,523786963.29346114
Elbert,2035,536951704.4291303
Elbert,2036,549868865.7415057
Elbert,2037,562557497.5558194
Elbert,2038,575030853.3341286
Elbert,2039,587286335.9634718
Las Animas,1990,130355596.8257467
Las Animas,1991,130838570.70428744
Las Animas,1992,132903047.28314778
Las Animas,1993,134617131.04816487
Las Animas,1994,139712031.96296704
Las Animas,1995,141170423.67463902
Las Animas,1996,141804918.76997685
Las Animas,1997,142505704.39766338
Las Animas,1998,142524644.54976302
Las Animas,1999,143358011.24214703
Las Animas,2000,144759582.4975201
Las Animas,2001,144986864.31921175
Las Animas,2002,148291920.86533335
Las Animas,2003,152364053.56353533
Las Animas,2004,148680193.98621696
Las Animas,2005,147449084.09869897
Las Animas,2006,147278622.72923392
Las Animas,2007,147022930.67408955
Las Animas,2008,146653597.70738903
Las Animas,2009,146568367.02009964
Las Animas,2010,145678179.87435246
Las Animas,2011,142477294.1682449
Las Animas,2012,141729158.16102904
Las Animas,2013,136160753.44473028
Las Animas,2014,133319730.6266408
Las Animas,2015,133158739.33813113
Las Animas,2016,133357610.93314137
Las Animas,2017,133368232.8240474
Las Animas,2018,133298598.54167663
Las Animas,2019,133192608.90342182
Las Animas,2020,133041482.4088456
Las Animas,2021,133085422.91596183
Las Animas,2022,133085273.23658954
Las Animas,2023,133043721.04087114
Las Animas,2024,132966303.0685632
Las Animas,2025,132860760.76949355
Las Animas,2026,132731218.42303407
Las Animas,2027,132577462.24957645
Las Animas,2028,132399569.95349027
Las Animas,2029,132202797.88746604
Las Animas,2030,131985881.88804944
Las Animas,2031,131748349.75327075
Las Animas,2032,131486889.7329681
Las Animas,2033,131201540.76333092
Las Animas,2034,130892827.44692111
Las Animas,2035,130562221.44526184
Las Animas,2036,130211451.60423361
Las Animas,2037,129847384.77838969
Las Animas,2038,129475139.78757559
Las Animas,2039,129097694.27814366
Washington,1990,52122113.464447804
Washington,1991,51818826.02118003
Washington,1992,52988649.01664145
Washington,1993,55664077.53403933
Washington,1994,56541444.7806354
Washington,1995,56714751.89107413
Washington,1996,56584771.558245085
Washington,1997,56476454.61422088
Washington,1998,55837384.64447807
Washington,1999,54396769.28895613
Washington,2000,53530233.73676248
Washington,2001,53064470.87735006
Washington,2002,56963880.862048164
Washington,2003,55674909.22797604
Washington,2004,54808373.676031485
Washington,2005,54104313.54032908
Washington,2006,53952669.8183377
Washington,2007,53367758.32068284
Washington,2008,52013796.520131156
Washington,2009,51743004.16038475
Washington,2010,52544549.546142206
Washington,2011,51872984.49336546
Washington,2012,51082270.80230284
Washington,2013,51613023.827794
Washington,2014,51688845.6880477
Washington,2015,52360410.74156102
Washington,2016,52804510.211594485
Washington,2017,53125692.825789265
Washington,2018,53292968.96918984
Washington,2019,53456249.63773764
Washington,2020,53609246.34809575
Washington,2021,53807929.98096028
Washington,2022,53996543.70880695
Washington,2023,54172504.8163783
Washington,2024,54339078.90534753
Washington,2025,54498477.22028727
Washington,2026,54650145.4959209
Washington,2027,54806248.86510914
Washington,2028,54967768.54637317
