,county,year,enery
0,Adams,1997,
1,Adams,1999,
2,Adams,2005,
3,Adams,2006,
4,Adams,2007,4830.08837890625
5,Adams,2008,53214.25
6,Adams,2009,72218.1484375
7,Adams,2010,83010.8984375
8,Adams,2011,366145.6875
9,Adams,2012,2390485.75
10,Adams,2013,
11,Adams,2014,
12,Adams,2015,
13,Adams,2016,
14,Alamosa,1997,
15,Alamosa,1999,
16,Alamosa,2005,
17,Alamosa,2006,
18,Alamosa,2007,15734799.0
19,Alamosa,2008,1140868.625
20,Alamosa,2009,1598364.625
21,Alamosa,2010,
22,Alamosa,2011,109109920.0
23,Alamosa,2012,
24,Alamosa,2013,
25,Alamosa,2014,
26,Alamosa,2015,
27,Alamosa,2016,
28,Arapahoe,1997,
29,Arapahoe,1999,
30,Arapahoe,2005,
31,Arapahoe,2006,10611.0302734375
32,Arapahoe,2007,
33,Arapahoe,2008,114689.078125
34,Arapahoe,2009,275237.125
35,Arapahoe,2010,2522385.25
36,Arapahoe,2011,1540873.25
37,Arapahoe,2012,1990392.75
38,Arapahoe,2013,68813.453125
39,Arapahoe,2014,
40,Arapahoe,2015,
41,Arapahoe,2016,
42,Boulder,1997,
43,Boulder,1999,
44,Boulder,2005,
45,Boulder,2006,
46,Boulder,2007,1716722.125
47,Boulder,2008,1964632.875
48,Boulder,2009,3458078.75
49,Boulder,2010,231198.421875
50,Boulder,2011,315117.65625
51,Boulder,2012,1140978.5
52,Boulder,2013,8160.43408203125
53,Boulder,2014,
54,Boulder,2015,
55,Boulder,2016,
56,Broomfield,1997,
57,Broomfield,1999,
58,Broomfield,2005,
59,Broomfield,2006,
60,Broomfield,2007,
61,Broomfield,2008,207172.671875
62,Broomfield,2009,55278.24609375
63,Broomfield,2010,25590.546875
64,Broomfield,2011,159813.9375
65,Broomfield,2012,210270.53125
66,Broomfield,2013,
67,Broomfield,2014,
68,Broomfield,2015,
69,Broomfield,2016,
70,Chaffee,1997,
71,Chaffee,1999,
72,Chaffee,2005,
73,Chaffee,2006,
74,Chaffee,2007,
75,Chaffee,2008,12026.001953125
76,Chaffee,2009,62668.8359375
77,Chaffee,2010,
78,Chaffee,2011,
79,Chaffee,2012,
80,Chaffee,2013,
81,Chaffee,2014,
82,Chaffee,2015,
83,Chaffee,2016,
84,Custer,1997,
85,Custer,1999,
86,Custer,2005,
87,Custer,2006,
88,Custer,2007,
89,Custer,2008,
90,Custer,2009,5358.9697265625
91,Custer,2010,
92,Custer,2011,
93,Custer,2012,
94,Custer,2013,
95,Custer,2014,
96,Custer,2015,
97,Custer,2016,
98,Delta,1997,
99,Delta,1999,
100,Delta,2005,
101,Delta,2006,
102,Delta,2007,
103,Delta,2008,11463.947265625
104,Delta,2009,16087.9130859375
105,Delta,2010,
106,Delta,2011,146082.4375
107,Delta,2012,
108,Delta,2013,20101.16796875
109,Delta,2014,
110,Delta,2015,
111,Delta,2016,
112,Denver,1997,
113,Denver,1999,
114,Denver,2005,
115,Denver,2006,
116,Denver,2007,4747.21484375
117,Denver,2008,6526804.0
118,Denver,2009,3460911.0
